TeamName,Score
idle_speculation,0.0310098
Tom Van de Wiele,0.0310029
Jack (Japan),0.0309906
yoniko,0.0309261
In Public Leaderboard We Trust,0.0308904
Jared Turkewitz and BreakfastPirate,0.0308713
Evgeny Patekha,0.0308549
Alejo y Miro,0.0308237
SRRRK,0.0307241
Future_ML,0.030702
raddar & Davut,0.0306961
WindFireLoop,0.0306346
colun,0.0306325
"Alan (AJ) Pryor, Jr.",0.0305972
Sameh Faidi,0.0305897
alijs,0.0305604
Botond Egri,0.0305601
Nima & Russ,0.0305599
rjkc,0.0305453
ds,0.0305444
Jamón de York de bellota,0.0305427
scnndl,0.0305343
Alexey Matveev,0.0305328
fakeplastictrees,0.0305305
More Conditions and More Commissions,0.030524
SKA,0.0305187
ShinnaMashiro,0.0305148
qqilihq,0.0304893
alex,0.03048
EM,0.030476
sc,0.0304712
Alexander  Larko,0.0304678
Overfitting  Consortium,0.0304639
gmilosev,0.0304614
weiwei,0.0304483
ahaldenby,0.0304413
Ash,0.0304374
NorwegianWood,0.0304347
Mario,0.0304339
Maximilian Hahn,0.0304295
Vicens Gaitan,0.0304175
ZM,0.0304147
michi,0.0304099
jayjay,0.0304066
Alexey Noskov,0.0303929
longint,0.0303864
"Nikolay  Popov (MMP, MSU, RUSSIA)",0.0303835
n_m,0.0303804
MiuMiu,0.0303745
GKkMLk,0.0303715
Mark @ h2o.ai,0.0303634
DSS_Kaggle_club,0.0303548
Dmytro Lystopad,0.0303532
Alexander Bauer,0.0303481
JASS,0.0303463
robrebre,0.030331
mrxnew,0.0303295
Too busy to compete,0.0303188
I4AC,0.0303167
Krzysztof,0.0303165
GliGli,0.0303098
Kenley Tan,0.030307
graseck,0.030306
bestfitting,0.0303031
mcasshy,0.0303003
Prabu Palanisamy,0.0302986
skyramp,0.0302977
ivo,0.0302908
Shallow_Learning,0.0302897
easy company,0.0302849
big_data_cz,0.030277
Panos,0.0302639
AGoli,0.0302595
gbakie,0.0302568
ONODERA,0.0302472
Massimiliano,0.0302455
j3di,0.030229
Oleksandr Lysenko,0.0302172
huanghm,0.0302164
x0x0w1,0.030215
autumn-lake,0.0302089
Thomas Maier,0.0302034
Manel,0.0302019
James Trotman,0.0301978
MxDbld,0.0301976
Pan Tofelek,0.0301937
SebastienPlat,0.0301927
Evdilos_Ikaria,0.0301878
aloisio,0.0301837
Pallavi,0.0301816
JStr,0.0301765
Joshua Havelka,0.0301755
KazAnova,0.030174
ClockWorkWorld,0.0301701
Gert,0.0301691
joconnor,0.0301686
amaia,0.0301678
"Vikulin Vsevolod (MMP, MSU, Russia)",0.0301523
制霸北美,0.0301487
Quantum,0.0301399
Piyush Jaiswal,0.0301366
shuber,0.0301302
laserwolf,0.0301267
Qingchen,0.0301214
Waring,0.0301173
Iván Gómez Villafañe,0.030116
MG1633052,0.0301092
ln,0.0301088
barisumog,0.0301034
BitterIsland07,0.0301014
Dmitry Dryomov // CDS 🇮🇱,0.0300994
SatendraKumar,0.0300979
Tuan Anh,0.0300937
Vetal1977,0.0300914
Rakpong Kittinaradorn,0.0300875
Oleg Panichev,0.030082
SK,0.03008
Bogdan Melnik,0.0300768
TiagoMarques,0.0300766
Aleksey Cherny,0.0300749
Sili Fan,0.0300724
Jiachen Yao,0.0300688
Carlos Oliveira,0.0300687
Shahnawaz Akhtar,0.0300658
Riju Bhattacharyya,0.030062
y,0.0300616
Tao,0.0300563
Wrosinski,0.0300549
Mohd Shadab Alam,0.0300519
CTTsai,0.030051
syllogismos,0.0300507
Thian Liang,0.0300481
PhxZ,0.0300464
Arrested Development,0.0300458
MG1633020_1,0.0300448
Dyy,0.0300448
why.com.ar,0.0300429
TomaszCe,0.0300382
ShayanAbdolahzade,0.0300382
 sravn,0.0300366
Quentin Morel,0.0300358
Glencairn ,0.0300333
mleljak,0.0300329
Magic,0.030031
lala,0.0300283
hiddenperson,0.0300281
紫金山上的小白菜,0.0300276
Patrick Chan,0.0300259
Speculators,0.0300258
NMtest,0.0300242
workingloong,0.030022
"Vladislav Amelin (MMP, MSU, Russia)",0.030022
Cogitae _ Thomas Soumarmon,0.0300218
Adammer,0.0300195
kos_,0.0300185
fromAtoB,0.0300148
jmyrberg,0.0300141
Ivanhoe,0.030012
hiro_00,0.0300101
not_today,0.0300096
DSI1130,0.0300093
NULL,0.0300088
churandy,0.0300085
livenb,0.0300063
